Id,TextSora2,aya,NomSora
5949,سَبِّحِ اسْمَ رَبِّكَ الْأَعْلَى,1,الأعلى
5950,الَّذِي خَلَقَ فَسَوَّى,2,الأعلى
5951,وَالَّذِي قَدَّرَ فَهَدَى,3,الأعلى
5952,وَالَّذِي أَخْرَجَ الْمَرْعَى,4,الأعلى
5953,فَجَعَلَهُ غُثَاءً أَحْوَى,5,الأعلى
5954,سَنُقْرِئُكَ فَلَا تَنْسَى,6,الأعلى
5955,إِلَّا مَا شَاءَ اللَّهُ إِنَّهُ يَعْلَمُ الْجَهْرَ وَمَا يَخْفَى,7,الأعلى
5956,وَنُيَسِّرُكَ لِلْيُسْرَى,8,الأعلى
5957,فَذَكِّرْ إِنْ نَفَعَتِ الذِّكْرَى,9,الأعلى
5958,سَيَذَّكَّرُ مَنْ يَخْشَى,10,الأعلى
5959,وَيَتَجَنَّبُهَا الْأَشْقَى,11,الأعلى
5960,الَّذِي يَصْلَى النَّارَ الْكُبْرَى,12,الأعلى
5961,ثُمَّ لَا يَمُوتُ فِيهَا وَلَا يَحْيَى,13,الأعلى
5962,قَدْ أَفْلَحَ مَنْ تَزَكَّى,14,الأعلى
5963,وَذَكَرَ اسْمَ رَبِّهِ فَصَلَّى,15,الأعلى
5964,بَلْ تُؤْثِرُونَ الْحَيَاةَ الدُّنْيَا,16,الأعلى
5965,وَالْآَخِرَةُ خَيْرٌ وَأَبْقَى,17,الأعلى
5966,إِنَّ هَذَا لَفِي الصُّحُفِ الْأُولَى,18,الأعلى
5967,صُحُفِ إِبْرَاهِيمَ وَمُوسَى,19,الأعلى
